cluster number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
percentage,0.51195,8.5324,4.7782,41.809,26.109,1.3652,0.51195,1.8771,0.85324,0.51195,0.51195,0.51195,0.3413,11.433,0.3413
centroid number,543,556,107,515,233,235,24,523,91,334,445,576,46,563,57
